"timegroupsf","freq","se","timegroups","species"
"before 2000",0.25386423818627,0.0102159071671234,1992,"House Sparrow"
"2000-2006",0.198995463400279,0.00856318429638033,2003,"House Sparrow"
"2007-2010",0.200230877120442,0.00843980091381862,2009,"House Sparrow"
"2011-2012",0.216041082300361,0.0089890601848901,2012,"House Sparrow"
"2013",0.24812990275602,0.00961119571035106,2013,"House Sparrow"
"2014",0.245397791787591,0.00907093101186371,2014,"House Sparrow"
"2015",0.24280157721209,0.0089408953828932,2015,"House Sparrow"
"2016",0.235484564491033,0.00867801896496884,2016,"House Sparrow"
"2017",0.230014838885842,0.00834624212990585,2017,"House Sparrow"
"2018",0.223222303190193,0.00820256448432535,2018,"House Sparrow"
"2019",0.251207200692175,0.0090188101928694,2019,"House Sparrow"
"2020",0.223787338836534,0.00814968088999103,2020,"House Sparrow"
"2021",0.206505758066781,0.00759716436720278,2021,"House Sparrow"
